firm_id,name,hq_city,hq_region,list_role,multi_sector,website,portfolio_url,wiki_category,seed_source_url,portfolio_company_count
silver-lake,Silver Lake,San Mateo,San Francisco Bay Area,featured,no,https://www.silverlake.com/,https://www.silverlake.com/portfolio/,Silver Lake (investment firm) companies,https://growthequityinterviewguide.com/private-equity/private-equity-primer/technology-private-equity-firms,196
accel-kkr,Accel-KKR,Menlo Park,San Francisco Bay Area,featured,no,https://www.accel-kkr.com/,https://www.accel-kkr.com/portfolio/,,https://growthequityinterviewguide.com/private-equity/private-equity-primer/technology-private-equity-firms,168
hellman-friedman,Hellman & Friedman,San Francisco,San Francisco Bay Area,featured,no,https://hf.com/,https://hf.com/portfolio/,Hellman & Friedman companies,https://growthequityinterviewguide.com/private-equity/private-equity-primer/technology-private-equity-firms,86
francisco-partners,Francisco Partners,San Francisco,San Francisco Bay Area,honorable_mention,no,https://www.franciscopartners.com/,https://www.franciscopartners.com/investments,,https://growthequityinterviewguide.com/private-equity/private-equity-primer/technology-private-equity-firms,176
genstar-capital,Genstar Capital,San Francisco,San Francisco Bay Area,honorable_mention,yes,https://www.gencap.com/,https://www.gencap.com/companies/,,https://growthequityinterviewguide.com/private-equity/private-equity-primer/technology-private-equity-firms,83
vista-equity,Vista Equity Partners,Austin,Texas,featured,no,https://www.vistaequitypartners.com/,https://www.vistaequitypartners.com/about/companies/,Vista Equity Partners companies,https://growthequityinterviewguide.com/private-equity/private-equity-primer/technology-private-equity-firms,165
thoma-bravo,Thoma Bravo,Chicago,Chicago,featured,no,https://www.thomabravo.com/,https://www.thomabravo.com/portfolio,Thoma Bravo companies,https://growthequityinterviewguide.com/private-equity/private-equity-primer/technology-private-equity-firms,160
providence-equity,Providence Equity Partners,Providence,Boston area,featured,yes,https://www.provequity.com/,https://www.provequity.com/portfolio,Providence Equity Partners companies,https://growthequityinterviewguide.com/private-equity/private-equity-primer/technology-private-equity-firms,44
spectrum-equity,Spectrum Equity,Boston,Boston,featured,no,https://www.spectrumequity.com/,https://www.spectrumequity.com/portfolio,,https://growthequityinterviewguide.com/private-equity/private-equity-primer/technology-private-equity-firms,92
warburg-pincus,Warburg Pincus,New York,New York,featured,yes,https://www.warburgpincus.com/,https://www.warburgpincus.com/investments/,Warburg Pincus companies,https://growthequityinterviewguide.com/private-equity/private-equity-primer/technology-private-equity-firms,268
wcas,"Welsh, Carson, Anderson & Stowe",New York,New York,featured,yes,https://wcas.com/,https://wcas.com/firm/investments/,,https://growthequityinterviewguide.com/private-equity/private-equity-primer/technology-private-equity-firms,50
blackstone,Blackstone,New York,New York,honorable_mention,yes,https://www.blackstone.com/,https://www.blackstone.com/,Blackstone Inc. companies,https://growthequityinterviewguide.com/private-equity/private-equity-primer/technology-private-equity-firms,53
kkr,KKR,New York,New York,honorable_mention,yes,https://www.kkr.com/,https://www.kkr.com/,KKR & Co. companies,https://growthequityinterviewguide.com/private-equity/private-equity-primer/technology-private-equity-firms,187
carlyle,Carlyle,"Washington, D.C.",Washington DC,featured,yes,https://www.carlyle.com/,https://www.carlyle.com/,The Carlyle Group companies,https://growthequityinterviewguide.com/private-equity/private-equity-primer/technology-private-equity-firms,128
permira,Permira,London,London,featured,yes,https://www.permira.com/,https://www.permira.com/portfolio/our-portfolio,Permira companies,https://growthequityinterviewguide.com/private-equity/private-equity-primer/technology-private-equity-firms,87
vitruvian,Vitruvian Partners,London,London,honorable_mention,no,https://www.vitruvianpartners.com/,https://www.vitruvianpartners.com/investments,,https://growthequityinterviewguide.com/private-equity/private-equity-primer/technology-private-equity-firms,18
hg,Hg,London,London,honorable_mention,no,https://hgcapital.com/,https://hgcapital.com/portfolio,,https://growthequityinterviewguide.com/private-equity/private-equity-primer/technology-private-equity-firms,100
platinum-equity,Platinum Equity,Beverly Hills,Los Angeles,featured,yes,https://www.platinumequity.com/,https://www.platinumequity.com/our-companies/,,https://growthequityinterviewguide.com/private-equity/private-equity-primer/technology-private-equity-firms,23
